0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:50 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:50 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:50 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:51 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:54 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:54 +0900] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:54 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:05:54 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:00 +0900] "GET /qna/list HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:02 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6022
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:06 +0900] "GET /qna/qWrite HTTP/1.1" 200 6464
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:18 +0900] "POST /qna/qWrite.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:18 +0900] "GET /qna/list.do HTTP/1.1" 200 11353
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:21 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:21 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:21 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:21 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:22 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:26 +0900] "GET /member/agree HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:30 +0900] "GET /member/join.do HTTP/1.1" 200 11685
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:06:35 +0900] "POST /member/idCheck HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:02 +0900] "POST /member/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:02 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:02 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:02 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:04 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:08 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:08 +0900] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:08 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:08 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:07:11 +0900] "GET /qna/list HTTP/1.1" 200 11285
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:09:52 +0900] "GET /qna/list HTTP/1.1" 200 11370
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:01 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:01 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:01 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:01 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:01 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:04 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:04 +0900] "GET / HTTP/1.1" 200 11322
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:04 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:04 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:05 +0900] "GET /qna/list HTTP/1.1" 200 11573
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:21 +0900] "GET /qna/list HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:22 +0900] "GET /qna/detail?qno=15 HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:25 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:25 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:25 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:25 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:26 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:31 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:31 +0900] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:31 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:31 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:10:33 +0900] "GET /qna/list HTTP/1.1" 200 11285
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:12:07 +0900] "GET /qna/list HTTP/1.1" 200 11285
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:12:07 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:12:07 +0900] "GET / HTTP/1.1" 200 11289
